run_id,config_hash,seed,arm,extinction_count,emergence_count,species_alive_at_end,total_turnover,last_event_tick,freeze_classification,rescue_count
76,e645ce14fd9c2dcd967c9be1171c0b23321c9c615aeec97860cd36ba7353b79b,7,fixed_0.05,194,195,1,389,32250,observed_freeze,0
77,f9f850da6245146c0f10d2616d73903f6586954bd15510f36b8f22152ef25956,5,fixed_0.02,16,17,1,33,450,observed_freeze,0
78,46cc16aa090f63c4124041e129c5cdce6005e474f7aec5035a9459b0c91ef4af,8,fixed_0.05,263,266,3,529,39970,censored_active,0
79,c20a9c526d05a039655a791388faee6eb14744f82a38397959b1e7015569e009,9,fixed_0.05,394,395,1,789,39040,censored_active,0
80,bda18505ea5a4478c6982ac069439b8f89b05130996605b97c07e840549c3b00,2,fixed_0.2,16785,16788,3,33573,40000,censored_active,0
81,c41a2fc7993c661f28795a192854502074be1bf2fcc9879f5173e0ff6d7f469a,10,fixed_0.05,383,385,2,768,39910,censored_active,0
82,e4ccade164484393df0d74f936d2816161248d5138a2d749ad146bda850e4c17,3,fixed_0.2,18176,18181,5,36357,40000,censored_active,0
83,dd1e27f7765f990a195393e52d84055193f4e477bdefec40ae6ef9580dcd1a11,1,fixed_0.1,315,316,1,631,39780,censored_active,0
84,4818eddc862c50f98f31f984b026de4336a887781e4222534aacfbf6696d445d,4,fixed_0.2,19623,19629,6,39252,40000,censored_active,0
85,e8256b975e1fdfdf1cfcc6e403a257788f401fa65930d4e03df89999c0c94b27,2,fixed_0.1,677,679,2,1356,39960,censored_active,0
86,139338b904897f6a8bfe81a8d0bd55be2a79664cdcba56b7eea1fef471c73862,3,fixed_0.1,621,625,4,1246,39960,censored_active,0
87,efda1887c83b966b51bec9f2957d7b66c52f48e82c3dbe55c10e1624a52d35c4,5,fixed_0.2,19717,19722,5,39439,40000,censored_active,0
88,97bf8b2e4d47d89751f6f64d2946e5ee23cba0f56e997dcdf64c31d8d22b0f92,4,fixed_0.1,646,649,3,1295,39950,censored_active,0
89,fe0e98276641d29de565f1f08a159bb486398e37860ea23c99f09de28d4f1e4e,6,fixed_0.2,12512,12516,4,25028,40000,censored_active,0
90,9a990e6ce7faad735b55ec164c9c11f2f0b37eb8dda50fff60055108fa2f1fe1,5,fixed_0.1,337,338,1,675,39640,censored_active,0
91,2c59d26f276f42196dea866aa960373e33cc914d3d84e3dffb15dd8e130b4c26,7,fixed_0.2,20003,20008,5,40011,40000,censored_active,0
92,638a99c17d2cbb135a825405d690f56a04a0a80990114c1f4667ccf38f264d28,6,fixed_0.1,536,538,2,1074,40000,censored_active,0
93,897f3f9cf98f38e6cbeb4ffe987616917a7debf85834274ee1ea05379aa03619,7,fixed_0.1,699,701,2,1400,40000,censored_active,0
94,d1f1eb4e1be3a5b603bacf78dcc48b2793a0960049e1dccc0cbc487ca294980d,8,fixed_0.2,14628,14633,5,29261,40000,censored_active,0
95,278474220f29539dc9653ecf48fac5fedd82ada37006e3f8e3f8955986c2938b,8,fixed_0.1,334,335,1,669,39860,censored_active,0
96,2eaa94b3aef74e5758f29684b92558424a0c2431f6c76bfb1dda9a3115cc04a9,9,fixed_0.2,19421,19425,4,38846,40000,censored_active,0
97,d90d42c34e9bc6b9926030d0ae819624d0e9b3c2224d1bcfb830cd703bc9855f,9,fixed_0.1,719,720,1,1439,39990,censored_active,0
98,77f9ea7e81a88b9f2bbf8707f08e57506d038ca8744e9b87c5f1d7051b66a448,10,fixed_0.2,19680,19683,3,39363,40000,censored_active,0
99,a28fb2d171e176e1df939d9021ff0ff349dcd64efafd6c852985515cb395daee,10,fixed_0.1,644,648,4,1292,39990,censored_active,0
100,85e3e4c35f1019e039d80b5da601167433871142684c1af8bbb7ff9e8c055bef,1,fixed_0.2,18738,18742,4,37480,40000,censored_active,0
